correo006,G014,N014,O001,2,2
correo006,G014,N014,O002,1,3
correo006,G014,N014,O003,1,4
correo006,G014,N014,O004,3,4
correo006,G014,N014,O005,1,2
correo006,G014,N014,O006,2,2
correo006,G014,N014,O007,2,2
correo006,G014,N014,O008,1,1
correo006,G014,N014,O009,1,5
correo006,G014,N014,O0010,3,3
correo006,G014,N014,O011,1,2
correo006,G014,N014,O012,1,4
correo006,G014,N014,O013,3,4
correo007,G014,N025,O001,1,2
correo007,G014,N025,O002,2,2
correo007,G014,N025,O003,2,4
correo007,G014,N025,O004,1,1
correo007,G014,N025,O005,2,3
correo007,G014,N025,O006,2,4
correo007,G014,N025,O007,1,3
correo007,G014,N025,O008,3,4
correo007,G014,N025,O009,1,1
correo007,G014,N025,O0010,2,2
correo007,G014,N025,O011,2,2
correo007,G014,N025,O012,1,1
correo007,G014,N025,O013,2,3
correo008,G014,N26,O001,2,3
correo008,G014,N26,O002,2,3
correo008,G014,N26,O003,2,4
correo008,G014,N26,O004,1,1
correo008,G014,N26,O005,2,4
correo008,G014,N26,O006,1,1
correo008,G014,N26,O007,1,1
correo008,G014,N26,O008,1,4
correo008,G014,N26,O009,1,3
correo008,G014,N26,O0010,1,2
correo008,G014,N26,O011,2,2
correo008,G014,N26,O012,2,2
correo008,G014,N26,O013,4,5
correo011,G014,N014,O001,1,3
correo011,G014,N014,O002,1,4
correo011,G014,N014,O003,3,4
correo011,G014,N014,O004,1,2
correo011,G014,N014,O005,1,2
correo011,G014,N014,O006,2,3
correo011,G014,N014,O007,3,4
correo011,G014,N014,O008,1,4
correo011,G014,N014,O009,1,1
correo011,G014,N014,O0010,1,3
correo011,G014,N014,O011,4,5
correo011,G014,N014,O012,2,4
correo011,G014,N014,O013,4,5
correo012,G014,N025,O001,1,2
correo012,G014,N025,O002,1,2
correo012,G014,N025,O003,2,3
correo012,G014,N025,O004,2,3
correo012,G014,N025,O005,1,1
correo012,G014,N025,O006,3,3
correo012,G014,N025,O007,1,2
correo012,G014,N025,O008,1,1
correo012,G014,N025,O009,1,3
correo012,G014,N025,O0010,1,3
correo012,G014,N025,O011,1,2
correo012,G014,N025,O012,3,3
correo012,G014,N025,O013,1,1
correo014,G014,N26,O001,1,3
correo014,G014,N26,O002,1,1
correo014,G014,N26,O003,2,2
correo014,G014,N26,O004,1,1
correo014,G014,N26,O005,1,1
correo014,G014,N26,O006,1,4
correo014,G014,N26,O007,4,4
correo014,G014,N26,O008,2,4
correo014,G014,N26,O009,3,3
correo014,G014,N26,O0010,1,3
correo014,G014,N26,O011,3,4
correo014,G014,N26,O012,1,2
correo014,G014,N26,O013,2,3
correo015,G014,N014,O001,1,2
correo015,G014,N014,O002,3,5
correo015,G014,N014,O003,1,3
correo015,G014,N014,O004,1,1
correo015,G014,N014,O005,1,1
correo015,G014,N014,O006,2,3
correo015,G014,N014,O007,1,1
correo015,G014,N014,O008,4,4
correo015,G014,N014,O009,2,3
correo015,G014,N014,O0010,3,5
correo015,G014,N014,O011,2,5
correo015,G014,N014,O012,1,2
correo015,G014,N014,O013,1,3
correo020,G014,N025,O001,2,4
correo020,G014,N025,O002,1,1
correo020,G014,N025,O003,1,5
correo020,G014,N025,O004,2,4
correo020,G014,N025,O005,2,2
correo020,G014,N025,O006,3,3
correo020,G014,N025,O007,4,4
correo020,G014,N025,O008,2,4
correo020,G014,N025,O009,1,2
correo020,G014,N025,O0010,4,5
correo020,G014,N025,O011,3,5
correo020,G014,N025,O012,1,2
correo020,G014,N025,O013,1,2
correo022,G014,N26,O001,2,3
correo022,G014,N26,O002,2,2
correo022,G014,N26,O003,2,2
correo022,G014,N26,O004,1,3
correo022,G014,N26,O005,1,2
correo022,G014,N26,O006,4,4
correo022,G014,N26,O007,1,3
correo022,G014,N26,O008,1,2
correo022,G014,N26,O009,3,4
correo022,G014,N26,O0010,1,5
correo022,G014,N26,O011,1,1
correo022,G014,N26,O012,1,5
correo022,G014,N26,O013,1,3
correo024,G014,N014,O001,1,5
correo024,G014,N014,O002,3,3
correo024,G014,N014,O003,2,2
correo024,G014,N014,O004,1,1
correo024,G014,N014,O005,3,4
correo024,G014,N014,O006,3,3
correo024,G014,N014,O007,1,3
correo024,G014,N014,O008,1,1
correo024,G014,N014,O009,4,5
correo024,G014,N014,O0010,1,1
correo024,G014,N014,O011,4,4
correo024,G014,N014,O012,2,4
correo024,G014,N014,O013,1,2
correo027,G014,N025,O001,2,4
correo027,G014,N025,O002,3,3
correo027,G014,N025,O003,1,4
correo027,G014,N025,O004,1,2
correo027,G014,N025,O005,1,3
correo027,G014,N025,O006,1,2
correo027,G014,N025,O007,1,1
correo027,G014,N025,O008,1,3
correo027,G014,N025,O009,1,3
correo027,G014,N025,O0010,3,3
correo027,G014,N025,O011,1,1
correo027,G014,N025,O012,2,3
