correo006,21,1,54,4,NULL
correo006,21,1,55,1,NULL
correo006,21,1,56,3,NULL
correo006,21,1,57,2,NULL
correo006,21,1,58,3,NULL
correo007,21,2,59,1,NULL
correo007,21,2,60,2,NULL
correo007,21,2,61,2,NULL
correo007,21,2,62,2,NULL
correo007,21,2,63,1,NULL
correo008,21,3,64,4,NULL
correo008,21,3,65,3,NULL
correo008,21,3,66,2,NULL
correo008,21,3,67,2,NULL
correo008,21,3,68,2,NULL
correo011,21,4,69,1,NULL
correo011,21,4,70,1,NULL
correo011,21,4,71,1,NULL
correo011,21,4,72,1,NULL
correo011,21,4,73,1,NULL
correo012,21,1,54,3,NULL
correo012,21,1,55,4,NULL
correo012,21,1,56,4,NULL
correo012,21,1,57,1,NULL
correo012,21,1,58,1,NULL
correo014,21,2,59,2,NULL
correo014,21,2,60,1,NULL
correo014,21,2,61,4,NULL
correo014,21,2,62,1,NULL
correo014,21,2,63,4,NULL
correo015,21,3,64,2,NULL
correo015,21,3,65,2,NULL
correo015,21,3,66,2,NULL
correo015,21,3,67,1,NULL
correo015,21,3,68,2,NULL
correo020,21,4,69,3,NULL
correo020,21,4,70,1,NULL
correo020,21,4,71,1,NULL
correo020,21,4,72,3,NULL
correo020,21,4,73,3,NULL
correo022,21,1,54,2,NULL
correo022,21,1,55,2,NULL
correo022,21,1,56,2,NULL
correo022,21,1,57,3,NULL
correo022,21,1,58,1,NULL
correo024,21,2,59,1,NULL
correo024,21,2,60,2,NULL
correo024,21,2,61,1,NULL
correo024,21,2,62,2,NULL
correo024,21,2,63,2,NULL
correo027,21,3,64,4,NULL
correo027,21,3,65,1,NULL
correo027,21,3,66,3,NULL
correo027,21,3,67,3,NULL
correo027,21,3,68,3,NULL
correo029,21,4,69,4,NULL
correo029,21,4,70,1,NULL
correo029,21,4,71,2,NULL
correo029,21,4,72,4,NULL
correo029,21,4,73,4,NULL
correo031,21,1,54,1,NULL
correo031,21,1,55,4,NULL
correo031,21,1,56,1,NULL
correo031,21,1,57,1,NULL
correo031,21,1,58,1,NULL
correo033,21,2,59,3,NULL
correo033,21,2,60,3,NULL
correo033,21,2,61,4,NULL
correo033,21,2,62,3,NULL
correo033,21,2,63,1,NULL
correo035,21,3,64,1,NULL
correo035,21,3,65,2,NULL
correo035,21,3,66,3,NULL
correo035,21,3,67,1,NULL
correo035,21,3,68,2,NULL
correo038,21,4,69,1,NULL
correo038,21,4,70,1,NULL
correo038,21,4,71,2,NULL
correo038,21,4,72,1,NULL
correo038,21,4,73,1,NULL
correo042,21,1,54,2,NULL
correo042,21,1,55,3,NULL
correo042,21,1,56,1,NULL
correo042,21,1,57,1,NULL
correo042,21,1,58,2,NULL
correo045,21,2,59,1,NULL
correo045,21,2,60,2,NULL
correo045,21,2,61,1,NULL
